REGIAO;UF;ESTACAO;CODIGO;LATITUDE;LONGITUDE;ALTITUDE
CO;DF;BRASILIA;A001;-15.78944444;-47.92583332;1159.54
NE;BA;SALVADOR;A401;-13.01666666;-38.51666666;51.41
N;AM;MANAUS;A101;-3.10333333;-60.01638888;61.25
SE;RJ;ECOLOGIA AGRICOLA;A601;-22.8;-43.68333333;33.0
S;RS;PORTO ALEGRE;A801;-30.05;-51.16666666;46.97
CO;GO;GOIANIA;A002;-16.64277777;-49.21999999;770.0
CO;GO;MORRINHOS;A003;-17.71666667;-49.1;771.42
CO;MS;CAMPO GRANDE;A702;-20.45;-54.6;530.0
CO;MS;PONTA PORA;A703;-22.5525;-55.71638888;675.0
CO;MS;TRES LAGOAS;A704;-20.78999999;-51.71222222;313.0
NE;BA;BARREIRAS;A402;-12.15;-45.01666666;470.37
SE;SP;BAURU;A705;-22.35805555;-49.02888888;666.0
S;RS;RIO GRANDE;A802;-32.03333333;-52.1;2.46
S;RS;SANTA MARIA;A803;-29.70833333;-53.70361111;95.0
S;RS;SANTANA DO LIVRAMENTO;A804;-30.84249999;-55.61277777;196.0
S;RS;SANTO AUGUSTO;A805;-27.85416666;-53.7911111;490.0
CO;MT;CUIABA;A901;-15.55916666;-56.72944443;240.0
CO;MT;TANGARA DA SERRA;A902;-14.65;-57.41666666;321.5
CO;MT;SORRISO;A904;-12.55;-55.71666666;380.0
CO;MT;CAMPO NOVO DOS PARECIS;A905;-13.78333333;-57.83333333;570.0
NE;BA;LUIZ EDUARDO MAGALHAES;A404;-12.15222222;-45.82972221;754.04
NE;BA;CARAVELAS;A405;-17.73333333;-39.26666666;2.88
SE;MG;BARBACENA;A502;-21.22888888;-43.76694443;1155.0
SE;MG;ARAXA;A505;-19.60555555;-46.94944444;1020.0
SE;MG;MONTES CLAROS;A506;-16.71666666;-43.86666666;646.29
SE;MG;UBERLANDIA;A507;-18.91722221;-48.25555555;869.0
SE;MG;ALMENARA;A508;-16.16666666;-40.68777777;194.0
SE;RJ;MARAMBAIA;A602;-23.05;-43.6;9.7
SE;RJ;XEREM;A603;-22.58972221;-43.28222221;33.0
SE;RJ;CAMBUCI;A604;-21.56666666;-41.95;35.0
SE;SP;CAMPOS DO JORDAO;A706;-22.75027777;-45.60388888;1642.0
SE;SP;FRANCA;A708;-20.57999999;-47.37999999;1026.0
CO;MT;GUARANTA DO NORTE;A906;-9.95;-54.88333333;320.0
CO;MS;IVINHEMA;A709;-22.30666666;-53.82722221;373.8
CO;MT;S.J. DO RIO CLARO;A903;-13.45;-56.66666666;350.0
CO;MT;RONDONOPOLIS;A907;-16.45;-54.56666666;284.0
NE;AL;MACEIO;A303;-9.55111111;-35.77027777;80.0
NE;BA;CRUZ DAS ALMAS;A406;-12.65;-39.15;225.87
NE;BA;ITIRUCU;A407;-13.52833332;-40.11972221;755.61
NE;BA;ILHEUS;A410;-14.65944444;-39.1811111;78.0
NE;BA;MACAJUBA;A412;-12.11666666;-40.18333333;380.0
NE;CE;FORTALEZA;A305;-3.83222221;-38.53777777;26.45
NE;CE;SOBRAL;A306;-3.73166666;-40.34555555;109.62
NE;MA;SAO LUIS;A203;-2.52694443;-44.21305555;56.0
NE;PE;PETROLINA;A307;-9.38805555;-40.48944444;370.46
NE;PI;PARNAIBA;A308;-3.08638888;-41.78333333;79.5
NE;RN;ARQ.SAO PEDRO E SAO PAULO;A302;0.9;-29.31666666;15.0
NE;RN;NATAL;A304;-5.9;-35.2;48.6
NE;SE;ARACAJU;A409;-10.95027777;-37.05;4.72
NE;BA;ITABERABA;A408;-12.51666666;-40.3;249.89
N;PA;BELEM;A201;-1.41027777;-48.43833333;24.0
N;PA;CASTANHAL;A202;-1.30083333;-47.93083332;65.0
SE;SP;PRESIDENTE PRUDENTE;A707;-22.11999999;-51.4;435.55
S;PR;CURITIBA;A807;-25.43333333;-49.26666666;923.5
S;SC;FLORIANOPOLIS;A806;-27.6025;-48.61999999;1.8
NE;PB;AREIA;A310;-6.97499999;-35.68499999;574.62
NE;PE;RECIFE;A301;-8.05916666;-34.95944444;10.0
NE;PE;ARCO VERDE;A309;-8.41694443;-37.08333333;680.7
NE;PI;FLORIANO;A311;-6.76666666;-43.01666666;123.27
NE;PI;TERESINA;A312;-5.07388888;-42.80694444;74.36
N;TO;PALMAS;A009;-10.18333333;-48.3;280.0
SE;MG;MONTE VERDE;A509;-22.86138888;-46.04333333;1500.0
N;TO;PARANA;A010;-12.615;-47.87194443;280.0
SE;MG;VICOSA;A510;-20.76277777;-42.86388888;712.2
CO;GO;SAO SIMAO;A011;-18.96666666;-50.61666666;488.51
CO;GO;LUZIANIA;A012;-16.27222222;-47.96638889;959.5
CO;MS;PARANAIBA;A710;-19.69527777;-51.18138888;424.0
CO;MS;AQUIDAUANA;A719;-20.47555554;-55.78388888;155.0
CO;MS;COXIM;A720;-18.51222222;-54.73583333;252.0
CO;MS;DOURADOS;A721;-22.19388888;-54.91138888;469.0
CO;MS;MIRANDA;A722;-20.38333333;-56.41666666;140.0
CO;MS;PORTO MURTINHO;A723;-21.70583333;-57.88666666;85.0
CO;MS;CORUMBA;A724;-18.99666666;-57.63749999;126.0
CO;MS;CHAPADAO DO SUL;A730;-18.80222222;-52.60277777;818.0
CO;MS;MARACAJU;A731;-21.60916666;-55.17777777;400.0
