station_code;model;p;d;q;P;D;Q;m;aic;pvalues
A732;(0, 0, 3)(0, 1, 1, 26)[26];0;0;3;0;1;1;26;1108.05845724904;"[1.64934670e-36 8.66715863e-02 4.94285915e-03 1.98847403e-47
 3.32160606e-51]"
A753;(1, 0, 1)(2, 1, 0, 26)[26];1;0;1;2;1;0;26;870.147580669858;"[9.17480182e-015 5.76670161e-277 5.82509608e-022 8.74122191e-009
 3.44551147e-037]"
A734;(1, 0, 1)(2, 1, 0, 26)[26];1;0;1;2;1;0;26;1049.45347552561;"[8.40809725e-003 4.18079756e-127 1.92661577e-035 3.96975273e-010
 5.75802342e-027]"
A723;(0, 0, 1)(0, 1, 1, 26)[26];0;0;1;0;1;1;26;1352.90447698799;[2.26931975e-39 8.04349839e-31 2.48687775e-49]
A858;(0, 0, 1)(0, 1, 1, 26)[26];0;0;1;0;1;1;26;1128.38796427029;[2.12921489e-35 7.96494372e-25 1.06371860e-36]
A612;(3, 0, 1)(2, 1, 0, 26)[26];3;0;1;2;1;0;26;819.246059888669;"[4.81372437e-005 9.09848575e-001 4.90949556e-002 1.48330652e-166
 7.53008292e-024 1.51299206e-014 3.21493920e-027]"
A345;(1, 0, 1)(2, 1, 0, 26)[26];1;0;1;2;1;0;26;854.184287662389;"[1.21627465e-50 0.00000000e+00 1.51250215e-61 1.10936125e-12
 1.00258497e-48]"
A866;(0, 0, 1)(0, 1, 1, 26)[26];0;0;1;0;1;1;26;871.856537223891;[2.33199891e-03 3.10091897e-23 3.95571202e-41]
A830;(0, 0, 1)(0, 1, 1, 26)[26];0;0;1;0;1;1;26;1234.67374809983;[6.29498536e-22 2.10525374e-27 5.26117238e-46]
A931;(2, 0, 1)(2, 1, 2, 26)[26];2;0;1;2;1;2;26;822.205400490586;"[9.99400411e-01 4.73950429e-14 5.20110152e-04 1.38551123e-93
 5.30379542e-03 3.47788418e-02 8.34600001e-01 1.00058502e-01
 8.45255702e-34]"
A716;(3, 0, 0)(2, 1, 0, 26)[26];3;0;0;2;1;0;26;1193.57714303086;"[6.30616107e-33 1.89007493e-08 7.42854421e-03 3.90533520e-18
 2.14365369e-05 9.68715931e-53]"
A882;(3, 0, 0)(2, 1, 0, 26)[26];3;0;0;2;1;0;26;624.394613581483;"[4.37998902e-14 1.18863441e-06 6.93890672e-04 1.66114024e-06
 6.75822061e-04 1.40079664e-14]"
A525;(3, 0, 0)(2, 1, 0, 26)[26];3;0;0;2;1;0;26;1063.14901465937;"[1.74183050e-19 1.33735327e-08 3.51702909e-02 1.30922959e-18
 1.20164806e-07 2.85619998e-31]"
A541;(0, 0, 3)(0, 1, 1, 26)[26];0;0;3;0;1;1;26;833.847014380783;"[3.30850896e-12 4.27852652e-03 6.39326618e-03 1.21489527e-26
 5.60063800e-43]"
A805;(0, 0, 1)(0, 1, 1, 26)[26];0;0;1;0;1;1;26;1776.58020806453;[2.69482772e-14 2.40004370e-56 1.48106428e-59]
A606;(1, 0, 1)(0, 1, 1, 26)[26];1;0;1;0;1;1;26;700.658758617299;[7.45707530e-04 1.62009250e-32 5.28022471e-27 3.17991566e-29]
A523;(2, 0, 0)(2, 1, 0, 26)[26];2;0;0;2;1;0;26;1024.61357059942;"[3.07918215e-08 8.28551097e-02 5.57639763e-25 5.80955507e-12
 3.09622705e-53]"
A823;(3, 0, 1)(2, 1, 0, 26)[26];3;0;1;2;1;0;26;1176.25928796822;"[4.61430068e-01 6.14111365e-01 3.42773071e-01 1.16425443e-02
 7.55068232e-17 8.08201178e-07 1.97484759e-39]"
A227;(0, 0, 0)(0, 1, 2, 26)[26];0;0;0;0;1;2;26;460.224175417809;[8.85672517e-35 1.16326572e-01 2.63638551e-54]
83907;(0, 0, 1)(0, 1, 2, 26)[26];0;0;1;0;1;2;26;5283.17370002228;[2.62587701e-213 1.36147205e-188 4.66318357e-002 8.82049207e-185]
83592;(2, 0, 2)(2, 1, 0, 26)[26];2;0;2;2;1;0;26;4044.8773374229;"[2.05655598e-014 2.90964020e-001 7.53780920e-008 9.52668033e-002
 2.12570188e-132 2.13611322e-035 2.62213453e-171]"
82336;(3, 0, 0)(2, 1, 0, 26)[26];3;0;0;2;1;0;26;2545.76337086299;"[3.41191946e-064 1.92859155e-019 1.46157523e-006 1.66962613e-148
 3.62910941e-051 3.97051944e-267]"
83470;(3, 0, 0)(2, 1, 0, 26)[26];3;0;0;2;1;0;26;2958.43432467948;"[3.69316143e-043 1.41922756e-007 2.62490572e-002 8.02307598e-088
 2.14811965e-020 9.20864334e-153]"
